"","atopid","member","yrent","moent","ineffect","estmode","pubsecr","secrart","length","defense","offense","neutral","nonagg","consul","active","notaiden","terrres","specthrt","milaid","base","armred","ecaid","StateAbb","StateName"
"64",5090,540,2006,12,1,1,0,0,0,1,0,0,1,0,1,4,0,0,0,0,0,1,"ANG","Angola"
"65",1200,160,1856,7,0,1,0,0,72,0,0,1,0,0,0,2,0,0,0,0,0,0,"ARG","Argentina"
"66",1205,160,1859,1,0,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,"ARG","Argentina"
"67",1255,160,1865,5,0,1,2,8,0,1,1,0,0,1,1,0,0,1,1,0,0,0,"ARG","Argentina"
"68",3010,160,1945,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,"ARG","Argentina"
"69",3075,160,1947,9,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,"ARG","Argentina"
"70",3150,160,1948,4,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,"ARG","Argentina"
"71",3965,160,1984,11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"ARG","Argentina"
"72",3740,371,1992,4,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,"ARM","Armenia"
"73",4130,371,1991,12,0,1,0,0,120,0,0,0,1,1,0,4,0,0,0,3,0,3,"ARM","Armenia"
"74",4220,371,1992,5,0,1,0,0,60,1,0,0,1,1,1,0,0,0,0,0,0,0,"ARM","Armenia"
"75",4220,371,2002,10,1,1,0,0,60,1,0,0,1,1,1,0,0,0,0,0,0,0,"ARM","Armenia"
"76",4400,371,1993,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,"ARM","Armenia"
"77",4445,371,1993,3,1,1,0,0,120,0,0,0,0,1,0,0,0,0,0,0,0,0,"ARM","Armenia"
"78",4462,371,1993,5,0,1,0,0,120,0,0,0,1,1,0,4,0,0,0,0,0,0,"ARM","Armenia"
"79",4630,371,1994,9,1,1,0,0,180,0,0,0,1,0,0,0,0,0,0,0,0,0,"ARM","Armenia"
"80",4700,371,1995,4,1,1,0,0,120,0,0,0,1,0,0,0,0,0,0,0,0,0,"ARM","Armenia"
"81",4758,371,1995,12,1,1,0,0,120,0,0,1,1,1,0,2,0,0,0,0,0,0,"ARM","Armenia"
"82",4815,371,1996,5,1,1,0,0,60,0,0,1,1,0,0,1,0,0,0,0,0,0,"ARM","Armenia"
"83",4890,371,1997,8,1,1,0,0,300,1,0,0,1,1,1,1,1,0,3,0,0,0,"ARM","Armenia"
"84",4925,371,1999,9,1,1,0,0,120,0,0,0,1,0,0,1,0,0,0,0,0,0,"ARM","Armenia"
"85",4930,371,1999,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"ARM","Armenia"
"86",4975,371,2001,5,1,1,0,0,120,0,0,0,1,1,0,1,0,0,0,0,0,0,"ARM","Armenia"
"87",4988,371,2001,10,1,1,0,0,120,0,0,0,1,1,0,1,0,0,0,0,0,0,"ARM","Armenia"
"88",4999,371,2002,4,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,"ARM","Armenia"
"89",1005,300,1815,1,0,1,1,7,0,1,0,0,0,1,1,0,0,0,0,0,0,0,"AUH","Austria-Hungary"
"90",1010,300,1815,1,0,1,2,8,0,1,0,0,0,0,1,0,0,0,2,0,0,1,"AUH","Austria-Hungary"
"91",1015,300,1815,4,0,1,0,0,0,1,1,0,0,0,1,0,0,5,0,0,0,0,"AUH","Austria-Hungary"
"92",1020,300,1815,6,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,"AUH","Austria-Hungary"
"93",1020,300,1820,5,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,"AUH","Austria-Hungary"
"94",1020,300,1850,11,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,"AUH","Austria-Hungary"
"95",1025,300,1815,6,0,1,1,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,"AUH","Austria-Hungary"
"96",1030,300,1815,6,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,"AUH","Austria-Hungary"
"97",1035,300,1815,11,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,"AUH","Austria-Hungary"
"98",1050,300,1831,7,0,0,2,8,0,1,0,0,0,0,1,0,1,1,0,0,0,0,"AUH","Austria-Hungary"
"99",1065,300,1833,3,0,1,2,8,0,0,1,0,0,1,1,0,0,3,0,0,0,0,"AUH","Austria-Hungary"
"100",1080,300,1833,9,0,1,1,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,"AUH","Austria-Hungary"
"101",1085,300,1833,9,0,1,0,0,0,1,1,0,0,1,1,3,1,5,0,0,0,0,"AUH","Austria-Hungary"
"102",1095,300,1833,10,0,1,2,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"AUH","Austria-Hungary"
"103",1110,300,1840,7,0,1,0,0,0,1,1,0,0,0,1,0,0,3,0,0,0,0,"AUH","Austria-Hungary"
"104",1125,300,1847,12,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,"AUH","Austria-Hungary"
"105",1130,300,1848,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,"AUH","Austria-Hungary"
"106",1140,300,1850,10,0,1,NA,NA,NA,1,1,0,0,0,1,NA,NA,3,NA,NA,NA,NA,"AUH","Austria-Hungary"
"107",1145,300,1851,5,0,1,NA,NA,0,1,1,0,0,0,1,0,0,0,0,0,0,0,"AUH","Austria-Hungary"
"108",1170,300,1854,4,0,1,0,0,0,1,1,0,0,0,1,0,0,3,0,0,0,0,"AUH","Austria-Hungary"
"109",1175,300,1854,6,0,1,0,0,0,1,0,0,0,0,1,0,0,4,0,3,0,0,"AUH","Austria-Hungary"
"110",1180,300,1854,12,0,1,0,0,0,1,1,0,0,1,1,0,0,4,0,0,0,0,"AUH","Austria-Hungary"
"111",1185,300,1854,12,0,1,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"AUH","Austria-Hungary"
"112",1195,300,1856,4,0,1,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,"AUH","Austria-Hungary"
"113",1227,300,1862,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"AUH","Austria-Hungary"
"114",1245,300,1864,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,"AUH","Austria-Hungary"
"115",1270,300,1866,6,0,1,2,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"AUH","Austria-Hungary"
"116",1272,300,1866,6,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,2,"AUH","Austria-Hungary"
"117",1315,300,1873,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"AUH","Austria-Hungary"
"118",1325,300,1877,1,0,1,2,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"AUH","Austria-Hungary"
"119",1335,300,1879,10,0,1,2,8,60,1,0,1,0,0,1,0,0,1,0,0,0,0,"AUH","Austria-Hungary"
"120",1340,300,1881,6,0,1,2,8,36,0,0,1,0,1,0,0,0,1,0,0,0,0,"AUH","Austria-Hungary"
"121",1345,300,1881,6,0,1,2,8,120,0,0,1,0,1,0,3,1,0,0,0,0,0,"AUH","Austria-Hungary"
"122",1345,300,1889,2,0,1,2,8,72,0,0,1,0,1,0,3,1,0,0,0,0,3,"AUH","Austria-Hungary"
"123",1350,300,1882,5,0,1,2,8,60,1,0,1,0,1,1,0,0,1,0,0,0,0,"AUH","Austria-Hungary"
"124",1350,300,1887,2,0,1,2,8,60,1,0,1,0,1,1,0,0,1,0,0,0,0,"AUH","Austria-Hungary"
"125",1350,300,1891,5,0,1,2,8,72,1,0,1,0,1,1,0,0,1,0,0,0,3,"AUH","Austria-Hungary"
"126",1350,300,1913,8,0,1,2,8,72,1,0,1,0,1,1,0,1,1,0,0,0,3,"AUH","Austria-Hungary"
"127",1355,300,1883,10,0,1,2,8,60,1,0,0,0,1,1,0,0,0,0,0,0,0,"AUH","Austria-Hungary"
"128",1360,300,1887,3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,"AUH","Austria-Hungary"
"129",1365,300,1887,5,0,0,2,8,48,0,0,0,1,1,0,0,0,3,0,0,0,0,"AUH","Austria-Hungary"
"130",1375,300,1887,12,0,0,2,8,0,0,1,0,0,1,1,0,0,2,0,0,0,0,"AUH","Austria-Hungary"
"131",1410,300,1901,2,0,0,2,8,0,0,0,0,0,1,0,0,0,2,0,0,0,0,"AUH","Austria-Hungary"
"132",1435,300,1904,10,0,0,2,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"AUH","Austria-Hungary"
"133",2012,300,1914,9,0,1,2,8,76,1,0,0,0,0,1,0,0,0,0,0,0,0,"AUH","Austria-Hungary"
"134",2030,300,1915,9,0,0,0,0,0,1,1,0,0,0,1,0,0,1,4,0,0,0,"AUH","Austria-Hungary"
"135",2550,900,1942,1,0,0,0,0,0,1,1,0,0,0,1,0,0,4,0,0,0,0,"AUL","Australia"
"136",2565,900,1944,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,"AUL","Australia"
"137",3215,900,1951,9,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,"AUL","Australia"
"138",3260,900,1954,9,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,"AUL","Australia"
"139",3755,900,2005,12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"AUL","Australia"
"140",3984,900,1987,12,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,"AUL","Australia"
"141",4760,900,1995,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"AUL","Australia"
"142",5095,900,2006,11,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"AUL","Australia"
"143",2100,305,1921,12,0,1,0,0,60,0,0,1,0,0,0,3,0,0,0,0,0,0,"AUS","Austria"
"144",2100,305,1921,12,0,1,0,0,60,0,0,1,0,0,0,3,0,0,0,0,0,0,"AUS","Austria"
"145",2335,305,1934,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"AUS","Austria"
"146",2335,305,1934,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"AUS","Austria"
"147",2335,305,1936,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"AUS","Austria"
"148",2335,305,1936,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"AUS","Austria"
"149",3740,305,1975,8,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,"AUS","Austria"
"150",3740,305,1975,8,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,"AUS","Austria"
"151",3740,305,1990,11,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,"AUS","Austria"
"152",3740,305,1990,11,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,"AUS","Austria"
"153",4175,305,1995,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"AUS","Austria"
"154",4175,305,1995,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"AUS","Austria"
"155",4175,305,2007,11,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,"AUS","Austria"
"156",4175,305,2007,11,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,"AUS","Austria"
"157",3740,373,1993,12,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,"AZE","Azerbaijan"
"158",4220,373,1993,9,0,1,0,0,60,1,0,0,1,1,1,0,0,0,0,0,0,0,"AZE","Azerbaijan"
"159",4342,373,1992,10,0,1,0,0,60,0,0,0,1,1,0,4,0,0,0,0,0,0,"AZE","Azerbaijan"
"160",4378,373,1992,12,1,1,0,0,60,0,0,0,1,0,0,4,0,0,0,0,0,3,"AZE","Azerbaijan"
"161",4400,373,1993,9,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,"AZE","Azerbaijan"
"162",4425,373,1993,2,0,1,0,0,60,0,0,0,1,1,0,3,0,0,0,0,0,3,"AZE","Azerbaijan"
"163",4535,373,1993,12,1,1,0,0,120,0,0,0,0,1,0,0,0,0,0,0,0,0,"AZE","Azerbaijan"
"164",4550,373,1994,2,1,1,0,0,60,1,0,0,0,0,1,0,0,0,0,0,0,0,"AZE","Azerbaijan"
"165",4725,373,1995,6,1,1,0,0,120,0,0,0,1,0,0,0,0,0,0,0,0,0,"AZE","Azerbaijan"
"166",4790,373,1996,3,1,1,0,0,120,0,0,0,1,0,0,0,0,0,0,0,0,0,"AZE","Azerbaijan"
"167",4823,373,1996,5,1,1,0,0,120,0,0,0,1,0,0,1,0,0,0,0,0,3,"AZE","Azerbaijan"
"168",4846,373,1996,9,0,1,0,0,60,0,0,1,0,0,0,4,0,0,0,0,0,0,"AZE","Azerbaijan"
"169",4885,373,1997,7,1,1,0,0,120,0,0,0,1,1,0,1,0,0,0,0,0,0,"AZE","Azerbaijan"
"170",4948,373,2000,3,1,1,0,0,60,0,0,0,1,1,0,4,0,0,0,0,0,3,"AZE","Azerbaijan"
"171",5065,373,2005,5,1,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,3,"AZE","Azerbaijan"
"172",6010,373,2007,3,1,1,0,0,120,0,0,0,1,0,0,1,0,0,0,0,0,3,"AZE","Azerbaijan"
"173",6015,373,2007,5,1,1,0,0,120,0,0,0,1,0,0,1,0,0,0,0,0,0,"AZE","Azerbaijan"
"174",6035,373,2010,8,1,1,0,0,120,1,0,0,1,1,1,1,0,0,3,0,0,0,"AZE","Azerbaijan"
"175",1020,267,1815,6,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,"BAD","Baden"
"176",1020,267,1820,5,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,"BAD","Baden"
"177",1020,267,1850,11,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,"BAD","Baden"
"178",1275,267,1866,8,0,1,2,8,0,1,1,0,0,0,1,0,0,0,0,0,0,0,"BAD","Baden"
"179",3015,692,1971,9,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"BAH","Bahrain"
"180",3205,692,1971,11,1,1,0,0,120,1,0,0,1,1,1,0,0,0,3,0,0,0,"BAH","Bahrain"
"181",3677,692,1971,8,1,1,0,0,120,0,0,0,1,0,0,0,0,0,0,0,0,0,"BAH","Bahrain"
"182",4020,692,1991,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,3,0,0,"BAH","Bahrain"
"183",4965,692,2000,12,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,"BAH","Bahrain"
"184",3150,53,1967,10,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,"BAR","Barbados"
"185",4778,53,1996,3,1,1,0,0,0,1,0,0,0,1,1,0,1,0,3,0,0,0,"BAR","Barbados"
"186",1005,245,1815,1,0,1,1,7,0,1,0,0,0,1,1,0,0,0,0,0,0,0,"BAV","Bavaria"
"187",1020,245,1815,6,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,"BAV","Bavaria"
"188",1020,245,1820,5,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,"BAV","Bavaria"
"189",1020,245,1850,11,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,"BAV","Bavaria"
"190",1140,245,1850,10,0,1,NA,NA,NA,1,1,0,0,0,1,NA,NA,3,NA,NA,NA,NA,"BAV","Bavaria"
"191",1227,245,1862,2,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,"BAV","Bavaria"
"192",1272,245,1866,6,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,2,"BAV","Bavaria"
"193",1280,245,1866,8,0,1,2,8,0,1,1,0,0,0,1,0,0,0,0,0,0,0,"BAV","Bavaria"
"194",1060,211,1832,11,0,1,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,"BEL","Belgium"
"195",1060,211,1832,11,0,1,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,"BEL","Belgium"
"196",2055,211,1920,9,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,1,2,0,"BEL","Belgium"
"197",2055,211,1920,9,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,1,2,0,"BEL","Belgium"
"198",2130,211,1925,10,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,"BEL","Belgium"
"199",2130,211,1925,10,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,"BEL","Belgium"
"200",2550,211,1942,1,0,0,0,0,0,1,1,0,0,0,1,0,0,4,0,0,0,0,"BEL","Belgium"
"201",2550,211,1942,1,0,0,0,0,0,1,1,0,0,0,1,0,0,4,0,0,0,0,"BEL","Belgium"
"202",3130,211,1948,3,0,1,0,0,600,1,0,0,0,1,1,0,0,1,0,0,0,0,"BEL","Belgium"
"203",3130,211,1948,3,0,1,0,0,600,1,0,0,0,1,1,0,0,1,0,0,0,0,"BEL","Belgium"
"204",3130,211,1954,10,0,1,0,0,600,1,0,0,0,1,1,0,0,0,0,3,1,0,"BEL","Belgium"
"205",3130,211,1954,10,0,1,0,0,600,1,0,0,0,1,1,0,0,0,0,3,1,0,"BEL","Belgium"
"206",3180,211,1949,4,0,1,0,0,240,1,0,0,1,1,1,0,0,0,0,0,0,0,"BEL","Belgium"
"207",3180,211,1949,4,0,1,0,0,240,1,0,0,1,1,1,0,0,0,0,0,0,0,"BEL","Belgium"
"208",3180,211,1951,6,1,1,0,0,240,1,0,0,1,1,1,0,0,0,0,3,0,0,"BEL","Belgium"
"209",3180,211,1951,6,1,1,0,0,240,1,0,0,1,1,1,0,0,0,0,3,0,0,"BEL","Belgium"
"210",3740,211,1975,8,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,"BEL","Belgium"
"211",3740,211,1975,8,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,"BEL","Belgium"
"212",3740,211,1990,11,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,"BEL","Belgium"
"213",3740,211,1990,11,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,"BEL","Belgium"
"214",4175,211,1992,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"BEL","Belgium"
"215",4175,211,1992,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"BEL","Belgium"
"216",4175,211,2007,11,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,"BEL","Belgium"
"217",4175,211,2007,11,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,"BEL","Belgium"
"218",3455,434,1961,9,0,1,0,0,120,1,0,0,1,1,1,0,0,0,0,0,0,0,"BEN","Benin"
"219",3810,434,1978,4,1,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,"BEN","Benin"
"220",3895,434,1981,5,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"BEN","Benin"
"221",4953,434,2000,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"BEN","Benin"
"222",4953,434,2002,7,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,"BEN","Benin"
"223",5055,434,2005,4,1,1,0,0,0,1,0,0,1,0,1,4,0,0,1,0,0,0,"BEN","Benin"
"224",3455,439,1961,9,0,1,0,0,120,1,0,0,1,1,1,0,0,0,0,0,0,0,"BFO","Burkina Faso"
"225",3738,439,1975,7,0,NA,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,NA,0,"BFO","Burkina Faso"
